,anharmfreq,rOH,rHO,rOO,tOHO,EFddec,EFddec_tot,EFddec_proj_HO,sOH,sOHQM,EFddec_perp
48,2538.436,1.0129076081755901,1.6769655556093002,2.60265593100587,149.782869110899,0.070422598914767,0.070543876237001,0.061212630309557,0.8358935027818472,0.7104,0.004134735376191
49,3246.511,0.986697606108376,1.9597951800379598,2.72146089367457,132.08279834581998,0.038411070408248,0.039333302065276,0.025514775344722997,0.904039402020886,0.7685,0.008467486135259
50,3340.4429999999998,0.9829943117332891,2.10836667565203,3.0641340611174304,163.651453654857,0.028488826850255,0.029810615210715003,0.028712564063865003,0.9274227138829151,0.7875,0.008778355423283
51,3245.435,0.9867168763632241,1.9584979353831398,2.72058104643107,132.121198565614,0.038464758029176004,0.039386241447065005,0.025566683293898,0.903721523236514,0.7678,0.008469852719111
52,3440.0040000000004,0.978004814814322,2.2243763035287003,2.85861942725855,121.407715930679,0.061864445600014,0.06192462179209599,0.030160146202997003,0.9420678126573141,0.8332,0.0027293139608779997
53,3493.211,0.9765615263259141,2.2980849033271205,2.8303067110474105,113.30536716761101,0.018491852563576997,0.021582401897845004,0.004689587089872,0.949612983095474,0.8184,0.011128857104258998
54,3472.973,0.977463892223134,2.25514166430848,3.08558287412605,142.119788846969,0.021896877084316,0.028600558051459998,0.027275869065692997,0.935093051930804,0.8036,0.018398877542102003
55,2722.099,1.00543567616233,1.77193819842626,2.7676629369911097,170.02638828124202,0.054403171366422996,0.054716730558725994,0.05405083656843799,0.838773338397283,0.7204,0.005849405808442
56,3541.348,0.974329136431832,3.0,3.5,100.0,0.011621668123421,0.018181488433153998,0.0,0.988000077780192,0.8366,0.013982251309211999
57,2729.638,1.00630475731759,1.73630919498804,2.64242713288371,147.73758575434098,0.064194485648376,0.064525096712515,0.053125969654265,0.852274762062431,0.7187,0.0065235050471220005
58,3520.8959999999997,0.9747149215026919,3.0,3.5,100.0,0.038315557535547995,0.038890415655039,0.0,0.980415950782928,0.9088,0.006662017754543
59,3521.127,0.974808990674583,3.0,3.5,100.0,0.038297630699162005,0.038852005127572,0.0,0.9805872306076221,0.9088,0.006539861257207
60,3430.768,0.978446065861581,2.20635545327583,2.8531516790034104,122.425588413548,0.062332907475597,0.062397839175324,0.031255234973666,0.9404265366121949,0.8321,0.002845870585302
61,3541.78,0.974307216539013,3.0,3.5,100.0,0.011669794992838002,0.018242608480053,0.0,0.987844371651124,0.8365,0.014021720614163
62,2718.627,1.00684667482194,1.7308973719721201,2.6377656413904504,147.758634461324,0.064773731361749,0.065091248913138,0.053709845614067,0.850486858624629,0.7176,0.006421402537462
63,2738.9040000000005,1.00463345763517,1.7786008589050502,2.7729480216535802,169.739281070422,0.053812923280569,0.05415977799879401,0.05349570626742099,0.840485639462627,0.7224,0.006119709215169001
64,2642.115,1.00796477289636,1.73354689469307,2.72900906900289,168.645774957943,0.058857215021418,0.058915569413132994,0.058218256769218,0.8399097825001529,0.7129,0.0026215566361009997
65,3502.664,0.976116734105097,2.33581935348177,2.84403644384175,111.613724840567,0.017495530877004,0.020990409448565,0.003818691644747,0.9533606323183109,0.8201,0.011597572511099
66,2801.5190000000002,1.00182863354967,1.7395608788714498,2.56049213295023,136.454805036152,0.09627076478089301,0.096311848172681,0.069067217120645,0.8399418164849392,0.7239,0.002812818326812
67,3516.23,0.9757712821148199,2.40400377460186,2.80688074112528,104.154052591358,0.018390028381768998,0.022601575392897002,0.0029782990818729995,0.9529308843838579,0.8086,0.013139180581701
68,3523.071,0.974978255860099,3.0,3.5,100.0,0.038752415114787005,0.04067881521828501,0.0,0.968345552125953,0.8816,0.012369976973893998
69,3037.566,0.993895119366225,1.8665356745586201,2.60180717385051,128.261895223783,0.094105742829146,0.09443720391063198,0.053056885347581996,0.850474817192076,0.7207,0.007905355718297001
70,3515.6090000000004,0.976237001962127,3.0,3.5,100.0,0.015999252176088,0.019584532675634998,0.0,0.9827024621481779,0.8168,0.011295036517379
71,3048.725,0.9944836878501322,1.85011042267752,2.68329346350711,139.261039854594,0.048734520052034005,0.049117094989264996,0.036192089170757,0.88953198715169,0.7478,0.006118461855925999
72,3551.304,0.9732022951575899,3.0,3.5,100.0,0.038919122089265,0.039954276482441,0.0,0.984298297739711,0.9,0.009035825642197999
73,3513.95,0.975336823922895,3.0,3.5,100.0,0.062135852497744004,0.062200938776072,0.0,0.9495488105507679,0.8221,0.0028447528896630003
74,2849.237,1.00003755474482,1.7880574361300599,2.76366923219838,164.171300266304,0.052554851280368,0.054128264885828996,0.052494943204839994,0.849053730506766,0.732,0.012955951005192999
75,2847.986,1.0001150616304102,1.78720510801083,2.7627907497673396,164.136722341032,0.05263124309038,0.054213737859873,0.052581587924354,0.8488184099932391,0.7312,0.013003138986427
76,2851.763,1.00026926064935,1.78869218221659,2.76408968066483,164.029358871982,0.052574542439064,0.05415178385863299,0.052529308688404996,0.8491960055104879,0.7318,0.012974327820555
77,3523.355,0.974291904153987,3.0,3.5,100.0,0.037543431068809995,0.03876842147593601,0.0,0.9825498434139078,0.9088,0.009668572144701
